games,event,team,pos,medal,as,athlete_id,noc,discipline,nationality
1996 Summer Olympics,"Singles, Men (Olympic)",,=33,,David Prinosil,154,GER,Tennis,
1996 Summer Olympics,"Doubles, Men (Olympic)",Marc-Kevin Goellner,3,Bronze,David Prinosil,154,GER,Tennis,
2000 Summer Olympics,"Singles, Men (Olympic)",,=33,,David Prinosil,154,GER,Tennis,
2000 Summer Olympics,"Doubles, Men (Olympic)",Tommy Haas,=5,,David Prinosil,154,GER,Tennis,
1908 Summer Olympics,"Hockey, Men (Olympic)",Germany,5,,Friedrich-Wilhelm Rahe,155,GER,Hockey,
1908 Summer Olympics,Tennis,GER,,,Friedrich-Wilhelm Rahe,155,GER,Hockey,
1908 Summer Olympics,"Singles, Men (Olympic)",,=26,,Friedrich-Wilhelm Rahe,155,GER,Hockey,
1908 Summer Olympics,"Doubles, Men (Olympic)",Oskar Kreuzer,=11,,Friedrich-Wilhelm Rahe,155,GER,Hockey,
1988 Summer Olympics,"Doubles, Men (Olympic)",Georg Böhm,=21,,Jürgen Rebel,156,FRG,Table Tennis,
1988 Summer Olympics,"Singles, Men (Olympic)",,=17,,Jörg Roßkopf,157,FRG,Table Tennis,
1988 Summer Olympics,"Doubles, Men (Olympic)",Steffen Fetzner,=9,,Jörg Roßkopf,157,FRG,Table Tennis,
1992 Summer Olympics,"Singles, Men (Olympic)",,=5,,Jörg Roßkopf,157,GER,Table Tennis,
1992 Summer Olympics,"Doubles, Men (Olympic)",Steffen Fetzner,2,Silver,Jörg Roßkopf,157,GER,Table Tennis,
1996 Summer Olympics,"Singles, Men (Olympic)",,3,Bronze,Jörg Roßkopf,157,GER,Table Tennis,
1996 Summer Olympics,"Doubles, Men (Olympic)",Steffen Fetzner,4,,Jörg Roßkopf,157,GER,Table Tennis,
2000 Summer Olympics,"Singles, Men (Olympic)",,=5,,Jörg Roßkopf,157,GER,Table Tennis,
2000 Summer Olympics,"Doubles, Men (Olympic)",Timo Boll,=17,,Jörg Roßkopf,157,GER,Table Tennis,
2004 Summer Olympics,"Singles, Men (Olympic)",,=17,,Jörg Roßkopf,157,GER,Table Tennis,
2004 Summer Olympics,"Doubles, Men (Olympic)",Lars Hielscher,=17,,Jörg Roßkopf,157,GER,Table Tennis,
1908 Summer Olympics,"Singles, Men (Olympic)",,=16,,Heinrich Schomburgk,158,GER,Tennis,
1908 Summer Olympics,"Doubles, Men (Olympic)",Otto Froitzheim,=7,,Heinrich Schomburgk,158,GER,Tennis,
1912 Summer Olympics,"Singles, Men (Olympic)",,=9,,Heinrich Schomburgk,158,GER,Tennis,
1912 Summer Olympics,"Doubles, Mixed (Olympic)",Dora Köring,1,Gold,Heinrich Schomburgk,158,GER,Tennis,
1912 Summer Olympics,"Doubles, Men (Olympic)",Otto von Müller,=9,,Heinrich Schomburgk,158,GER,Tennis,
1912 Summer Olympics,"Singles, Men (Olympic)",,=17,,Robert Spies,159,GER,Tennis,
1912 Summer Olympics,"Doubles, Men (Olympic)",Luis Maria Heyden,=5,,Robert Spies,159,GER,Tennis,
1988 Summer Olympics,"Singles, Men (Olympic)",,=5,,Carl-Uwe Steeb,160,FRG,Tennis,
1988 Summer Olympics,"Doubles, Men (Olympic)",Eric Jelen,=17,,Carl-Uwe Steeb,160,FRG,Tennis,
1992 Summer Olympics,"Singles, Men (Olympic)",,=9,,Carl-Uwe Steeb,160,GER,Tennis,
1992 Summer Olympics,"Singles, Men (Olympic)",,=17,,Michael Stich,161,GER,Tennis,
1992 Summer Olympics,"Doubles, Men (Olympic)",Boris Becker,1,Gold,Michael Stich,161,GER,Tennis,
1896 Summer Olympics,"100 metres, Men (Olympic)",,3 h3 r1/2,,Fritz Traun,162,GER,Athletics,
1896 Summer Olympics,"400 metres, Men (Olympic)",,DNS,,Fritz Traun,162,GER,Athletics,
1896 Summer Olympics,"800 metres, Men (Olympic)",,3 h1 r1/2,,Fritz Traun,162,GER,Athletics,
1896 Summer Olympics,"110 metres Hurdles, Men (Olympic)",,DNS,,Fritz Traun,162,GER,Athletics,
1896 Summer Olympics,"High Jump, Men (Olympic)",,DNS,,Fritz Traun,162,GER,Athletics,
1896 Summer Olympics,"Pole Vault, Men (Olympic)",,DNS,,Fritz Traun,162,GER,Athletics,
1896 Summer Olympics,"Long Jump, Men (Olympic)",,DNS,,Fritz Traun,162,GER,Athletics,
1896 Summer Olympics,"Triple Jump, Men (Olympic)",,DNS,,Fritz Traun,162,GER,Athletics,
1896 Summer Olympics,Tennis,GER,,,Fritz Traun,162,GER,Athletics,
1896 Summer Olympics,"Singles, Men (Olympic)",,=8,,Fritz Traun,162,GER,Athletics,
1896 Summer Olympics,"Doubles, Men (Olympic)",John Pius Boland,1,Gold,Fritz Traun,162,GER,Athletics,
1908 Summer Olympics,"Singles, Men (Olympic)",,=9,,Fritz von Bissing,163,GER,Tennis,
1912 Summer Olympics,"Singles, Men (Olympic)",,=5,,Otto von Müller,164,GER,Tennis,
1912 Summer Olympics,"Doubles, Mixed (Olympic)",Gertrud Kaminski,DNS,,Otto von Müller,164,GER,Tennis,
1912 Summer Olympics,"Doubles, Men (Olympic)",Heinrich Schomburgk,=9,,Otto von Müller,164,GER,Tennis,
1992 Summer Olympics,"Singles, Women (Olympic)",,=49,,Helen Amankwah,165,GHA,Table Tennis,
1992 Summer Olympics,"Doubles, Women (Olympic)",Patience Opokua,=25,,Helen Amankwah,165,GHA,Table Tennis,
1988 Summer Olympics,"Singles, Women (Olympic)",,=41,,Patricia Offel,166,GHA,Table Tennis,
1992 Summer Olympics,"Singles, Women (Olympic)",,=49,,Patience Opokua,167,GHA,Table Tennis,
1992 Summer Olympics,"Doubles, Women (Olympic)",Helen Amankwah,=25,,Patience Opokua,167,GHA,Table Tennis,
1996 Summer Olympics,"Doubles, Men (Olympic)",Isaac Opoku,=25,,Winifred Addy,168,GHA,Table Tennis,
1992 Summer Olympics,"Singles, Women (Olympic)",,=33,,Christina Papadaki,169,GRE,Tennis,
1992 Summer Olympics,"Doubles, Women (Olympic)",Christina Zachariadou,=17,,Christina Papadaki,169,GRE,Tennis,
1996 Summer Olympics,"Singles, Women (Olympic)",,=33,,Christina Papadaki,169,GRE,Tennis,
1996 Summer Olympics,"Doubles, Women (Olympic)",Christina Zachariadou,=17,,Christina Papadaki,169,GRE,Tennis,
1988 Summer Olympics,"Singles, Women (Olympic)",,=33,,Olga Tsarmpopoulou,170,GRE,Tennis,
1924 Summer Olympics,"Singles, Women (Olympic)",,=17,,Lena Valaoritou,171,GRE,Tennis,
1924 Summer Olympics,"Doubles, Mixed (Olympic)",Avgoustos Zerlentis,=9,,Lena Valaoritou,171,GRE,Tennis,
1924 Summer Olympics,"Doubles, Women (Olympic)",Hélène Kontostavlos,DNS,,Lena Valaoritou,171,GRE,Tennis,
1992 Summer Olympics,"Doubles, Women (Olympic)",Christina Papadaki,=17,,Christina Zachariadou,172,GRE,Tennis,
1996 Summer Olympics,"Doubles, Women (Olympic)",Christina Papadaki,=17,,Christina Zachariadou,172,GRE,Tennis,
2004 Summer Olympics,"Doubles, Women (Olympic)",Eleni Daniilidou,=17,,Christina Zachariadou,172,GRE,Tennis,
1896 Summer Olympics,"Singles, Men (Olympic)",,=5,,Aristidis Akratopoulos,173,GRE,Tennis,
1896 Summer Olympics,"Doubles, Men (Olympic)",Kostas Akratopoulos,=4,,Aristidis Akratopoulos,173,GRE,Tennis,
1896 Summer Olympics,"Singles, Men (Olympic)",,=5,,Kostas Akratopoulos,174,GRE,Tennis,
1896 Summer Olympics,"Doubles, Men (Olympic)",Aristidis Akratopoulos,=4,,Kostas Akratopoulos,174,GRE,Tennis,
1984 Summer Olympics,"Singles, Men (Olympic (non-medal))",,=17,,Tasos Bavelas,175,GRE,Tennis,
1988 Summer Olympics,"Doubles, Men (Olympic)",Georgios Kalovelonis,=17,,Tasos Bavelas,175,GRE,Tennis,
1992 Summer Olympics,"Doubles, Men (Olympic)",Konstantinos Efremoglou,=9,,Tasos Bavelas,175,GRE,Tennis,
1992 Summer Olympics,"Doubles, Men (Olympic)",Tasos Bavelas,=9,,Konstantinos Efremoglou,176,GRE,Tennis,
1988 Summer Olympics,"Singles, Men (Olympic)",,=33,,Georgios Kalovelonis,177,GRE,Tennis,
1988 Summer Olympics,"Doubles, Men (Olympic)",Tasos Bavelas,=17,,Georgios Kalovelonis,177,GRE,Tennis,
1896 Summer Olympics,"Singles, Men (Olympic)",,2,Silver,Demetrius Casdagli,178,GRE,Tennis,
1896 Summer Olympics,"Doubles, Men (Olympic)",Dimitrios Petrokokkinos,2,Silver,Demetrius Casdagli,178,GRE,Tennis,
1906 Intercalated Games,"Doubles, Mixed (Intercalated)",Fronietta Paspati,=4,,Demetrius Casdagli,178,GRE,Tennis,
1906 Intercalated Games,"Singles, Men (Intercalated)",,DNS,,Demetrius Casdagli,178,GRE,Tennis,
1996 Summer Olympics,"Singles, Men (Olympic)",,=17,,Kallinikos Kreangka,179,GRE,Table Tennis,
2000 Summer Olympics,"Singles, Men (Olympic)",,=17,,Kallinikos Kreangka,179,GRE,Table Tennis,
2000 Summer Olympics,"Doubles, Men (Olympic)",Daniel Tsiokas,=17,,Kallinikos Kreangka,179,GRE,Table Tennis,
2004 Summer Olympics,"Singles, Men (Olympic)",,=17,,Kallinikos Kreangka,179,GRE,Table Tennis,
2004 Summer Olympics,"Doubles, Men (Olympic)",Panagiotis Gkionis,=17,,Kallinikos Kreangka,179,GRE,Table Tennis,
2008 Summer Olympics,"Singles, Men (Olympic)",,=9,,Kallinikos Kreangka,179,GRE,Table Tennis,
2008 Summer Olympics,"Team, Men (Olympic)",Greece,=9,,Kallinikos Kreangka,179,GRE,Table Tennis,
2012 Summer Olympics,"Singles, Men (Olympic)",,=17,,Kallinikos Kreangka,179,GRE,Table Tennis,
1924 Summer Olympics,"Singles, Men (Olympic)",,=61,,Pantelis Papadopoulos,180,GRE,Tennis,
1924 Summer Olympics,"Doubles, Mixed (Olympic)",Hélène Kontostavlos,DNS,,Pantelis Papadopoulos,180,GRE,Tennis,
1924 Summer Olympics,"Doubles, Men (Olympic)",Avgoustos Zerlentis,=9,,Pantelis Papadopoulos,180,GRE,Tennis,
1896 Summer Olympics,"Singles, Men (Olympic)",,=3,Bronze,Konstantinos Paspatis,181,GRE,Tennis,
1896 Summer Olympics,"Doubles, Men (Olympic)",Evangelos Rallis,=4,,Konstantinos Paspatis,181,GRE,Tennis,
1896 Summer Olympics,"Singles, Men (Olympic)",,=8,,Dimitrios Petrokokkinos,182,GRE,Tennis,
1896 Summer Olympics,"Doubles, Men (Olympic)",Demetrius Casdagli,2,Silver,Dimitrios Petrokokkinos,182,GRE,Tennis,
1896 Summer Olympics,"Singles, Men (Olympic)",,=8,,D. Frangopoulos,183,GRE,Tennis,
1896 Summer Olympics,Swimming (Aquatics),GRE,,,D. Frangopoulos,183,GRE,Tennis,
1896 Summer Olympics,"100 metres Freestyle, Men (Olympic)",,DNS,,D. Frangopoulos,183,GRE,Tennis,
1896 Summer Olympics,"500 metres Freestyle, Men (Olympic)",,DNS,,D. Frangopoulos,183,GRE,Tennis,
1896 Summer Olympics,"1,200 metres Freestyle, Men (Olympic)",,DNS,,D. Frangopoulos,183,GRE,Tennis,
1896 Summer Olympics,"Singles, Men (Olympic)",,=5,,Evangelos Rallis,184,GRE,Tennis,
1896 Summer Olympics,"Doubles, Men (Olympic)",Konstantinos Paspatis,=4,,Evangelos Rallis,184,GRE,Tennis,
1996 Summer Olympics,"Singles, Men (Olympic)",,=17,,Daniel Tsiokas,185,GRE,Table Tennis,
2000 Summer Olympics,"Singles, Men (Olympic)",,=33,,Daniel Tsiokas,185,GRE,Table Tennis,
2000 Summer Olympics,"Doubles, Men (Olympic)",Kallinikos Kreangka,=17,,Daniel Tsiokas,185,GRE,Table Tennis,
2008 Summer Olympics,"Team, Men (Olympic)",Greece,=9,,Daniel Tsiokas,185,GRE,Table Tennis,
1920 Summer Olympics,"Singles, Men (Olympic)",,=17,,Avgoustos Zerlentis,186,GRE,Tennis,
1924 Summer Olympics,"Singles, Men (Olympic)",,=17,,Avgoustos Zerlentis,186,GRE,Tennis,
1924 Summer Olympics,"Doubles, Mixed (Olympic)",Lena Valaoritou,=9,,Avgoustos Zerlentis,186,GRE,Tennis,
1924 Summer Olympics,"Doubles, Men (Olympic)",Pantelis Papadopoulos,=9,,Avgoustos Zerlentis,186,GRE,Tennis,
1996 Summer Olympics,"Singles, Men (Olympic)",,=33,,Kenneth Erichsen,187,GUA,Badminton,
1984 Summer Olympics,"Singles, Men (Olympic (non-medal))",,=17,,Ronald Agénor,188,HAI,Tennis,
1988 Summer Olympics,"Singles, Men (Olympic)",,=33,,Ronald Agénor,188,HAI,Tennis,
1996 Summer Olympics,"Singles, Men (Olympic)",,=33,,Ronald Agénor,188,HAI,Tennis,
1996 Summer Olympics,"Doubles, Mixed (Olympic)",Tim He,=17,,Emmy Chan,189,HKG,Badminton,
1992 Summer Olympics,"Singles, Women (Olympic)",,=33,,Chan Suk Yuen,190,HKG,Table Tennis,
1992 Summer Olympics,"Singles, Women (Olympic)",,=17,,Chan Tan Lui,191,HKG,Table Tennis,
1992 Summer Olympics,"Doubles, Women (Olympic)",Chai Po Wa,=5,,Chan Tan Lui,191,HKG,Table Tennis,
1996 Summer Olympics,"Singles, Women (Olympic)",,=5,,Chan Tan Lui,191,HKG,Table Tennis,
1996 Summer Olympics,"Doubles, Women (Olympic)",Chai Po Wa,=5,,Chan Tan Lui,191,HKG,Table Tennis,
1992 Summer Olympics,"Singles, Women (Olympic)",,=5,,Chai Po Wa,192,HKG,Table Tennis,
1992 Summer Olympics,"Doubles, Women (Olympic)",Chan Tan Lui,=5,,Chai Po Wa,192,HKG,Table Tennis,
1996 Summer Olympics,"Singles, Women (Olympic)",,=9,,Chai Po Wa,192,HKG,Table Tennis,
1996 Summer Olympics,"Doubles, Women (Olympic)",Chan Tan Lui,=5,,Chai Po Wa,192,HKG,Table Tennis,
1988 Summer Olympics,"Singles, Women (Olympic)",,=25,,Hui So Hung,193,HKG,Table Tennis,
1988 Summer Olympics,"Doubles, Women (Olympic)",Mok Ka Sha,=11,,Hui So Hung,193,HKG,Table Tennis,
1988 Summer Olympics,"Singles, Women (Olympic)",,=9,,Mok Ka Sha,194,HKG,Table Tennis,
1988 Summer Olympics,"Doubles, Women (Olympic)",Hui So Hung,=11,,Mok Ka Sha,194,HKG,Table Tennis,
1992 Summer Olympics,"Singles, Women (Olympic)",,=9,,Wong Chun Fan,195,HKG,Badminton,
1992 Summer Olympics,"Singles, Men (Olympic)",,=9,,Chan Kin Ngai,196,HKG,Badminton,
1992 Summer Olympics,"Doubles, Men (Olympic)",Ng Pak Kum,=9,,Chan Siu Kwong,197,HKG,Badminton,
1996 Summer Olympics,"Doubles, Men (Olympic)",Tim He,=17,,Chan Siu Kwong,197,HKG,Badminton,
1988 Summer Olympics,"Doubles, Men (Olympic)",Liu Fuk Man,=25,,Chan Chi Ming,198,HKG,Table Tennis,
1996 Summer Olympics,"Doubles, Men (Olympic)",Lo Chuen Tsung,=9,,Chan Kong Wah,199,HKG,Table Tennis,
1996 Summer Olympics,"Doubles, Mixed (Olympic)",Emmy Chan,=17,,Tim He,200,HKG,Badminton,
1996 Summer Olympics,"Doubles, Men (Olympic)",Chan Siu Kwong,=17,,Tim He,200,HKG,Badminton,
1988 Summer Olympics,"Singles, Men (Olympic)",,=17,,Liu Fuk Man,201,HKG,Table Tennis,
1988 Summer Olympics,"Doubles, Men (Olympic)",Chan Chi Ming,=25,,Liu Fuk Man,201,HKG,Table Tennis,
1988 Summer Olympics,"Singles, Men (Olympic)",,=17,,Lo Chuen Tsung,202,HKG,Table Tennis,
1988 Summer Olympics,"Doubles, Men (Olympic)",Vong Lu Veng,=21,,Lo Chuen Tsung,202,HKG,Table Tennis,
1992 Summer Olympics,"Singles, Men (Olympic)",,=17,,Lo Chuen Tsung,202,HKG,Table Tennis,
1996 Summer Olympics,"Singles, Men (Olympic)",,=33,,Lo Chuen Tsung,202,HKG,Table Tennis,
1996 Summer Olympics,"Doubles, Men (Olympic)",Chan Kong Wah,=9,,Lo Chuen Tsung,202,HKG,Table Tennis,
1992 Summer Olympics,"Doubles, Men (Olympic)",Chan Siu Kwong,=9,,Ng Pak Kum,203,HKG,Badminton,
1988 Summer Olympics,"Singles, Men (Olympic)",,=33,,Vong Lu Veng,204,HKG,Table Tennis,
1988 Summer Olympics,"Doubles, Men (Olympic)",Lo Chuen Tsung,=21,,Vong Lu Veng,204,HKG,Table Tennis,
1992 Summer Olympics,"Singles, Men (Olympic)",,=9,,Wong Wai Lap,205,HKG,Badminton,
1988 Summer Olympics,"Singles, Women (Olympic)",,=25,,Csilla Bátorfi,206,HUN,Table Tennis,
1988 Summer Olympics,"Doubles, Women (Olympic)",Edit Urbán,8,,Csilla Bátorfi,206,HUN,Table Tennis,
1992 Summer Olympics,"Singles, Women (Olympic)",,=9,,Csilla Bátorfi,206,HUN,Table Tennis,
1996 Summer Olympics,"Singles, Women (Olympic)",,=9,,Csilla Bátorfi,206,HUN,Table Tennis,
1996 Summer Olympics,"Doubles, Women (Olympic)",Krisztina Tóth,=9,,Csilla Bátorfi,206,HUN,Table Tennis,
2000 Summer Olympics,"Singles, Women (Olympic)",,=17,,Csilla Bátorfi,206,HUN,Table Tennis,
2000 Summer Olympics,"Doubles, Women (Olympic)",Krisztina Tóth,4,,Csilla Bátorfi,206,HUN,Table Tennis,
2004 Summer Olympics,"Singles, Women (Olympic)",,=33,,Csilla Bátorfi,206,HUN,Table Tennis,
2004 Summer Olympics,"Doubles, Women (Olympic)",Krisztina Tóth,=9,,Csilla Bátorfi,206,HUN,Table Tennis,
1996 Summer Olympics,"Singles, Women (Olympic)",,=17,,Virág Csurgó,207,HUN,Tennis,
1996 Summer Olympics,"Doubles, Women (Olympic)",Andrea Temesvári,=9,,Virág Csurgó,207,HUN,Tennis,
1992 Summer Olympics,"Singles, Women (Olympic)",,=33,,Andrea Dakó,208,HUN,Badminton,
1992 Summer Olympics,"Doubles, Women (Olympic)",Csilla Fórián,=17,,Andrea Dakó,208,HUN,Badminton,
1992 Summer Olympics,"Singles, Women (Olympic)",,=33,,Csilla Fórián,209,HUN,Badminton,
1992 Summer Olympics,"Doubles, Women (Olympic)",Andrea Dakó,=17,,Csilla Fórián,209,HUN,Badminton,
1992 Summer Olympics,"Singles, Women (Olympic)",,=33,,Andrea Harsági,210,HUN,Badminton,
1924 Summer Olympics,"Singles, Women (Olympic)",,=17,,Ilona Váradi,211,HUN,Tennis,
1924 Summer Olympics,"Doubles, Mixed (Olympic)",Aurél Kelemen,=9,,Ilona Váradi,211,HUN,Tennis,
1924 Summer Olympics,"Doubles, Women (Olympic)",Medy Krencsey,DNS,,Ilona Váradi,211,HUN,Tennis,
1996 Summer Olympics,"Singles, Women (Olympic)",,=33,,Andrea Temesvári,212,HUN,Tennis,
1996 Summer Olympics,"Doubles, Women (Olympic)",Virág Csurgó,=9,,Andrea Temesvári,212,HUN,Tennis,
1996 Summer Olympics,"Singles, Women (Olympic)",,=33,,Krisztina Tóth,213,HUN,Table Tennis,
1996 Summer Olympics,"Doubles, Women (Olympic)",Csilla Bátorfi,=9,,Krisztina Tóth,213,HUN,Table Tennis,
2000 Summer Olympics,"Singles, Women (Olympic)",,=9,,Krisztina Tóth,213,HUN,Table Tennis,
2000 Summer Olympics,"Doubles, Women (Olympic)",Csilla Bátorfi,4,,Krisztina Tóth,213,HUN,Table Tennis,
2004 Summer Olympics,"Singles, Women (Olympic)",,=17,,Krisztina Tóth,213,HUN,Table Tennis,
2004 Summer Olympics,"Doubles, Women (Olympic)",Csilla Bátorfi,=9,,Krisztina Tóth,213,HUN,Table Tennis,
2008 Summer Olympics,"Singles, Women (Olympic)",,=17,,Krisztina Tóth,213,HUN,Table Tennis,
2012 Summer Olympics,"Singles, Women (Olympic)",,=33,,Krisztina Tóth,213,HUN,Table Tennis,
1988 Summer Olympics,"Singles, Women (Olympic)",,=9,,Edit Urbán,214,HUN,Table Tennis,
1988 Summer Olympics,"Doubles, Women (Olympic)",Csilla Bátorfi,8,,Edit Urbán,214,HUN,Table Tennis,
1996 Summer Olympics,"Singles, Men (Olympic)",,=33,,Zoltán Bátorfi,215,HUN,Table Tennis,
1924 Summer Olympics,"Singles, Men (Olympic)",,=33,,Lajos Göncz,216,HUN,Tennis,
1924 Summer Olympics,"Doubles, Men (Olympic)",Kálmán Kirchmayer,=29,,Lajos Göncz,216,HUN,Tennis,
1988 Summer Olympics,"Singles, Men (Olympic)",,=33,,Zsolt Harczi,217,HUN,Table Tennis,
1924 Summer Olympics,"Singles, Men (Olympic)",,=61,,Kálmán Kirchmayer,218,HUN,Tennis,
1924 Summer Olympics,"Doubles, Men (Olympic)",Lajos Göncz,=29,,Kálmán Kirchmayer,218,HUN,Tennis,
1988 Summer Olympics,"Singles, Men (Olympic)",,4,,Tibor Klampár,219,HUN,Table Tennis,
1988 Summer Olympics,"Doubles, Men (Olympic)",Zsolt Kriston,=17,,Tibor Klampár,219,HUN,Table Tennis,
1988 Summer Olympics,"Doubles, Men (Olympic)",Tibor Klampár,=17,,Zsolt Kriston,220,HUN,Table Tennis,
1988 Summer Olympics,"Doubles, Men (Olympic)",László Markovits,=9,,Gábor Köves,221,HUN,Tennis,
1996 Summer Olympics,"Doubles, Men (Olympic)",László Markovits,=17,,Gábor Köves,221,HUN,Tennis,
2000 Summer Olympics,"Doubles, Men (Olympic)",Attila Sávolt,=17,,Gábor Köves,221,HUN,Tennis,
1908 Summer Olympics,"Singles, Men (Olympic)",,=16,,Dezső Lauber,222,HUN,Tennis,
1908 Summer Olympics,"Doubles, Men (Olympic)",L. Ivanka,DNS,,Dezső Lauber,222,HUN,Tennis,
1924 Summer Olympics,"Architecture, Open (Olympic)",Alfréd Hajós,2,Silver,Dezső Lauber,222,HUN,Art Competitions,
1988 Summer Olympics,"Doubles, Men (Olympic)",Gábor Köves,=9,,László Markovits,223,HUN,Tennis,
1992 Summer Olympics,"Doubles, Men (Olympic)",Sándor Noszály,DNS,,László Markovits,223,HUN,Tennis,
1996 Summer Olympics,"Doubles, Men (Olympic)",Gábor Köves,=17,,László Markovits,223,HUN,Tennis,
1996 Summer Olympics,"Singles, Men (Olympic)",,=17,,Károly Németh,224,HUN,Table Tennis,
1992 Summer Olympics,"Singles, Men (Olympic)",,=33,,Sándor Noszály,225,HUN,Tennis,
1992 Summer Olympics,"Doubles, Men (Olympic)",László Markovits,DNS,,Sándor Noszály,225,HUN,Tennis,
1996 Summer Olympics,"Singles, Men (Olympic)",,=33,,Sándor Noszály,225,HUN,Tennis,
1896 Summer Olympics,"Singles, Men (Olympic)",,=3,Bronze,Momcsilló Tapavicza,226,HUN,Tennis,
1896 Summer Olympics,Weightlifting,HUN,,,Momcsilló Tapavicza,226,HUN,Tennis,
1896 Summer Olympics,"Unlimited, Two Hands, Men (Olympic)",,6,,Momcsilló Tapavicza,226,HUN,Tennis,
1896 Summer Olympics,Wrestling,HUN,,,Momcsilló Tapavicza,226,HUN,Tennis,
1896 Summer Olympics,"Unlimited Class, Greco-Roman, Men (Olympic)",,=4,,Momcsilló Tapavicza,226,HUN,Tennis,
1896 Summer Olympics,Athletics,HUN,,,Momcsilló Tapavicza,226,HUN,Tennis,
1896 Summer Olympics,"Pole Vault, Men (Olympic)",,DNS,,Momcsilló Tapavicza,226,HUN,Tennis,
1896 Summer Olympics,"Long Jump, Men (Olympic)",,DNS,,Momcsilló Tapavicza,226,HUN,Tennis,
1896 Summer Olympics,"Shot Put, Men (Olympic)",,DNS,,Momcsilló Tapavicza,226,HUN,Tennis,
1908 Summer Olympics,"Singles, Men (Olympic)",,=16,,Ede Tóth,227,HUN,Tennis,
1908 Summer Olympics,"Doubles, Men (Olympic)",Jenő Zsigmondy,=7,,Ede Tóth,227,HUN,Tennis,
1912 Summer Olympics,"Singles, Men (Olympic)",,DNS,,Ede Tóth,227,HUN,Tennis,
1912 Summer Olympics,"Doubles, Men (Olympic)",Pál Segner,DNS,,Ede Tóth,227,HUN,Tennis,
1912 Summer Olympics,"Singles, Men (Olympic)",,=31,,Leó Baráth,228,HUN,Tennis,
1912 Summer Olympics,"Doubles, Men (Olympic)",Aurél Kelemen,=15,,Leó Baráth,228,HUN,Tennis,
1912 Summer Olympics,"Singles, Men (Olympic)",,=17,,Aurél Kelemen,229,HUN,Tennis,
1912 Summer Olympics,"Doubles, Men (Olympic)",Leó Baráth,=15,,Aurél Kelemen,229,HUN,Tennis,
1924 Summer Olympics,"Singles, Men (Olympic)",,=61,,Aurél Kelemen,229,HUN,Tennis,
1924 Summer Olympics,"Doubles, Mixed (Olympic)",Ilona Váradi,=9,,Aurél Kelemen,229,HUN,Tennis,
1924 Summer Olympics,"Doubles, Men (Olympic)",Béla Kehrling,=29,,Aurél Kelemen,229,HUN,Tennis,
1912 Summer Olympics,"Singles, Men (Olympic)",,=9,,Béla Kehrling,230,HUN,Tennis,
1912 Summer Olympics,"Doubles, Men (Olympic)",Jenő Zsigmondy,=9,,Béla Kehrling,230,HUN,Tennis,
1924 Summer Olympics,"Singles, Men (Olympic)",,=9,,Béla Kehrling,230,HUN,Tennis,
1924 Summer Olympics,"Doubles, Mixed (Olympic)",Medy Krencsey,DNS,,Béla Kehrling,230,HUN,Tennis,
1924 Summer Olympics,"Doubles, Men (Olympic)",Aurél Kelemen,=29,,Béla Kehrling,230,HUN,Tennis,
1908 Summer Olympics,"Singles, Men (Olympic)",,=16,,Jenő Zsigmondy,231,HUN,Tennis,
1908 Summer Olympics,"Doubles, Men (Olympic)",Ede Tóth,=7,,Jenő Zsigmondy,231,HUN,Tennis,
1912 Summer Olympics,"Singles, Men (Olympic)",,=17,,Jenő Zsigmondy,231,HUN,Tennis,
1912 Summer Olympics,"Doubles, Men (Olympic)",Béla Kehrling,=9,,Jenő Zsigmondy,231,HUN,Tennis,
1996 Summer Olympics,"Singles, Women (Olympic)",,=49,,Aida Steshenko,232,TKM,Table Tennis,
2000 Summer Olympics,"Singles, Women (Olympic)",,=49,,Aida Steshenko,232,TKM,Table Tennis,
1988 Summer Olympics,"Singles, Women (Olympic)",,=33,,Yayuk Basuki,233,INA,Tennis,
1992 Summer Olympics,"Singles, Women (Olympic)",,=9,,Yayuk Basuki,233,INA,Tennis,
1992 Summer Olympics,"Doubles, Women (Olympic)",Suzanna Wibowo,=17,,Yayuk Basuki,233,INA,Tennis,
1996 Summer Olympics,"Singles, Women (Olympic)",,=33,,Yayuk Basuki,233,INA,Tennis,
1996 Summer Olympics,"Doubles, Women (Olympic)",Romana Tedjakusuma,=9,,Yayuk Basuki,233,INA,Tennis,
2000 Summer Olympics,"Doubles, Women (Olympic)",Wynne Prakusya,=17,,Yayuk Basuki,233,INA,Tennis,
1992 Summer Olympics,"Singles, Women (Olympic)",,=17,,Rossy Pratiwi Dipoyanti,234,INA,Table Tennis,
1992 Summer Olympics,"Doubles, Women (Olympic)",Ling Ling Agustin,=17,,Rossy Pratiwi Dipoyanti,234,INA,Table Tennis,
1996 Summer Olympics,"Singles, Women (Olympic)",,=49,,Rossy Pratiwi Dipoyanti,234,INA,Table Tennis,
1992 Summer Olympics,"Doubles, Women (Olympic)",Lili Tampi,=5,,Finarsih,235,INA,Badminton,
1996 Summer Olympics,"Doubles, Women (Olympic)",Lili Tampi,=9,,Finarsih,235,INA,Badminton,
1992 Summer Olympics,"Singles, Women (Olympic)",,=33,,Ling Ling Agustin,236,INA,Table Tennis,
1992 Summer Olympics,"Doubles, Women (Olympic)",Rossy Pratiwi Dipoyanti,=17,,Ling Ling Agustin,236,INA,Table Tennis,
